dataset,alpha,group,seed,e_star,best_val_acc,auc_val,final_gen_gap
Wine,0.4,Distill-S,13,73,0.9642857313156128,86.85714431107044,0.0357142686843872
Wine,0.6,Distill-S,13,188,0.9642857313156128,197.42857475578785,0.0357142686843872
Wine,0.8,Distill-S,13,299,0.9642857313156128,284.964290574193,0.0357142686843872
Wine,1.0,Distill-S,13,97,0.9642857313156128,109.3928588181734,0.0357142686843872
Wine,0.0,Baseline-Half,14,299,1.0,296.125,0.0
Wine,0.0,Baseline-Full,14,299,1.0,298.12499994039536,0.0
Wine,0.2,Baseline-Half,14,299,1.0,296.125,0.0
Wine,0.2,Baseline-Full,14,299,1.0,298.12499994039536,0.0
Wine,0.4,Baseline-Half,14,299,1.0,296.125,0.0
Wine,0.4,Baseline-Full,14,299,1.0,298.12499994039536,0.0
Wine,0.6,Baseline-Half,14,299,1.0,296.125,0.0
Wine,0.6,Baseline-Full,14,299,1.0,298.12499994039536,0.0
Wine,0.8,Baseline-Half,14,299,1.0,296.125,0.0
Wine,0.8,Baseline-Full,14,299,1.0,298.12499994039536,0.0
Wine,1.0,Baseline-Half,14,299,1.0,296.125,0.0
Wine,1.0,Baseline-Full,14,299,1.0,298.12499994039536,0.0
Wine,0.0,Distill-S,14,299,1.0,296.4642857313156,0.0
Wine,0.2,Distill-S,14,299,1.0,296.3571428656578,0.0
Wine,0.4,Distill-S,14,299,1.0,296.23214292526245,0.0
Wine,0.6,Distill-S,14,299,1.0,296.125,0.0
Wine,0.8,Distill-S,14,299,1.0,296.125,0.0
Wine,1.0,Distill-S,14,299,1.0,296.125,0.0
Wine,0.0,Baseline-Half,15,117,0.9285714030265808,120.71428413689137,0.0714285969734191
Wine,0.0,Baseline-Full,15,64,0.9642857313156128,81.30357202887535,0.0357142686843872
Wine,0.2,Baseline-Half,15,117,0.9285714030265808,120.71428413689137,0.0714285969734191
Wine,0.2,Baseline-Full,15,64,0.9642857313156128,81.30357202887535,0.0357142686843872
Wine,0.4,Baseline-Half,15,117,0.9285714030265808,120.71428413689137,0.0714285969734191
Wine,0.4,Baseline-Full,15,64,0.9642857313156128,81.30357202887535,0.0357142686843872
Wine,0.6,Baseline-Half,15,117,0.9285714030265808,120.71428413689137,0.0714285969734191
Wine,0.6,Baseline-Full,15,64,0.9642857313156128,81.30357202887535,0.0357142686843872
Wine,0.8,Baseline-Half,15,117,0.9285714030265808,120.71428413689137,0.0714285969734191
Wine,0.8,Baseline-Full,15,64,0.9642857313156128,81.30357202887535,0.0357142686843872
Wine,1.0,Baseline-Half,15,117,0.9285714030265808,120.71428413689137,0.0714285969734191
Wine,1.0,Baseline-Full,15,64,0.9642857313156128,81.30357202887535,0.0357142686843872
Wine,0.0,Distill-S,15,141,0.9642857313156128,150.8750019222498,0.0357142686843872
Wine,0.2,Distill-S,15,117,0.9642857313156128,128.3392871171236,0.0357142686843872
Wine,0.4,Distill-S,15,59,0.8928571343421936,68.30357067286968,0.1071428656578064
Wine,0.6,Distill-S,15,282,0.9642857313156128,284.1428607851267,0.0
Wine,0.8,Distill-S,15,60,0.9285714030265808,71.57142706215382,0.0714285969734191
Wine,1.0,Distill-S,15,166,0.9285714030265808,166.5357113033533,0.0714285969734191
Wine,0.0,Baseline-Half,16,164,0.9642857313156128,175.35714499652386,0.0357142686843872
Wine,0.0,Baseline-Full,16,39,0.9642857313156128,56.14285781979561,0.0357142686843872
Wine,0.2,Baseline-Half,16,164,0.9642857313156128,175.35714499652386,0.0357142686843872
Wine,0.2,Baseline-Full,16,39,0.9642857313156128,56.14285781979561,0.0357142686843872
Wine,0.4,Baseline-Half,16,164,0.9642857313156128,175.35714499652386,0.0357142686843872
Wine,0.4,Baseline-Full,16,39,0.9642857313156128,56.14285781979561,0.0357142686843872
Wine,0.6,Baseline-Half,16,164,0.9642857313156128,175.35714499652386,0.0357142686843872
Wine,0.6,Baseline-Full,16,39,0.9642857313156128,56.14285781979561,0.0357142686843872
Wine,0.8,Baseline-Half,16,164,0.9642857313156128,175.35714499652386,0.0357142686843872
Wine,0.8,Baseline-Full,16,39,0.9642857313156128,56.14285781979561,0.0357142686843872
