dataset,beta,metric,contrast,n_seeds,mean_diff,ci_low,ci_high,p_wilcoxon,p_holm,r_rank_biserial,sig
wine,0.7,final_gen_gap,Distill-S vs Baseline-Student,20,-0.010357147540364936,-0.022500005534717003,0.0017857044935226632,0.09088878524572704,0.6362214967200892,-0.6666666666666666,ns
wine,0.8,final_gen_gap,Distill-S vs Baseline-Student,20,-0.028959629457929854,-0.05000389083248116,-0.01071428656578064,0.01775592261403605,0.22031552838838792,-1.0,ns
breastcancer,0.2,test_acc_best,Distill-S vs Baseline-Student,20,-0.00614035087719299,-0.012280701754385975,-0.00043859649122807154,0.069689329476337,1.0,-0.5604395604395604,ns
breastcancer,0.3,test_acc_best,Distill-S vs Baseline-Student,20,0.0013157894736842036,-0.004385964912280715,0.007017543859649128,0.7032029658251818,1.0,0.11428571428571428,ns
breastcancer,0.4,test_acc_best,Distill-S vs Baseline-Student,20,0.004824561403508776,-0.0021929824561403633,0.01228070175438598,0.23273783772535095,1.0,0.38461538461538464,ns
breastcancer,0.5,test_acc_best,Distill-S vs Baseline-Student,20,0.003508771929824561,-0.0026425438596491364,0.010087719298245618,0.3964389152571207,1.0,0.26373626373626374,ns
breastcancer,0.6,test_acc_best,Distill-S vs Baseline-Student,20,0.004385964912280721,-0.0008771929824561264,0.010087719298245628,0.08442085299721569,1.0,0.5,ns
breastcancer,0.7,test_acc_best,Distill-S vs Baseline-Student,20,0.0026315789473684236,-0.0017543859649122918,0.00789473684210526,0.30137709013721026,1.0,0.36363636363636365,ns
breastcancer,0.8,test_acc_best,Distill-S vs Baseline-Student,20,0.005263157894736853,0.0013157894736842257,0.009210526315789492,0.017042460000735966,0.3919765800169272,0.803030303030303,ns
digits,0.2,test_acc_best,Distill-S vs Baseline-Student,20,-0.012361111111111068,-0.016944444444444418,-0.008194444444444365,0.00021330550375488308,0.005972554105136726,-0.9428571428571428,**
digits,0.3,test_acc_best,Distill-S vs Baseline-Student,20,-0.0030555555555555947,-0.0069444444444444475,0.0011111111111110849,0.11763224223617,1.0,-0.43137254901960786,ns
digits,0.4,test_acc_best,Distill-S vs Baseline-Student,20,0.0026388888888888907,-0.0016666666666666553,0.007361111111111063,0.48942563457621036,1.0,0.20952380952380953,ns
digits,0.5,test_acc_best,Distill-S vs Baseline-Student,20,0.006805555555555542,0.0029166666666666564,0.010972222222222166,0.004954189961368172,0.1238547490342043,0.7543859649122807,ns
digits,0.6,test_acc_best,Distill-S vs Baseline-Student,20,0.006944444444444475,0.0026388888888888686,0.011249999999999993,0.009169693917320209,0.22007265401568502,0.6789473684210526,ns
digits,0.7,test_acc_best,Distill-S vs Baseline-Student,20,0.009999999999999964,0.006388888888888861,0.013472222222222214,0.0006235990483817754,0.01621357525792616,0.9181286549707602,*
digits,0.8,test_acc_best,Distill-S vs Baseline-Student,20,0.016666666666666673,0.010694444444444468,0.022777777777777786,0.00025170853516275424,0.006796130449394365,0.9333333333333333,**
glass,0.2,test_acc_best,Distill-S vs Baseline-Student,20,-0.02441860465116279,-0.0686046511627907,0.023255813953488375,0.22147986249572282,1.0,-0.32748538011695905,ns
glass,0.3,test_acc_best,Distill-S vs Baseline-Student,20,0.011627906976744182,-0.017441860465116275,0.0441860465116279,0.7528644840936247,1.0,0.09166666666666666,ns
glass,0.4,test_acc_best,Distill-S vs Baseline-Student,20,0.022093023255813953,-0.005813953488372087,0.05348837209302326,0.2783887332991658,1.0,0.31666666666666665,ns
glass,0.5,test_acc_best,Distill-S vs Baseline-Student,20,0.027906976744186053,-0.004651162790697672,0.06046511627906979,0.12329159799800908,1.0,0.4,ns
glass,0.6,test_acc_best,Distill-S vs Baseline-Student,20,-0.018604651162790704,-0.05581395348837208,0.016279069767441857,0.28581286955330065,1.0,-0.29411764705882354,ns
glass,0.7,test_acc_best,Distill-S vs Baseline-Student,20,0.004651162790697666,-0.024418604651162794,0.031395348837209305,0.8638592750463294,1.0,0.05,ns
glass,0.8,test_acc_best,Distill-S vs Baseline-Student,20,0.02558139534883721,-0.025581395348837188,0.07325581395348837,0.2759184328479347,1.0,0.29239766081871343,ns
