dataset,beta,group,seed,e_star,best_val_acc,auc_val,final_gen_gap,train_acc_final,val_acc_final,n_epochs,test_acc_best,test_acc_final,test_loss_best,test_loss_final,ece_best,ece_final,entropy_mean_best,conf_mean_best,teacher_test_acc,teacher_ece,teacher_conf_mean,teacher_entropy_mean,teacher_soft_entropy,teacher_soft_conf,agreement_overlap,agreement_nonoverlap
breastcancer,0.5,Baseline-Full,1,12,0.9780219793319702,31.18131873011589,0.019230767920777048,0.9972527472527473,0.9780219793319702,33,0.9824561403508771,0.9824561403508771,0.07888923585414886,0.09297677874565125,0.012997908027548579,0.014800100995783168,0.05330554395914078,0.9834185838699341,,,,,,,,
breastcancer,0.6,Baseline-Full,1,12,0.9780219793319702,31.18131873011589,0.019230767920777048,0.9972527472527473,0.9780219793319702,33,0.9824561403508771,0.9824561403508771,0.07888923585414886,0.09297677874565125,0.012997908027548579,0.014800100995783168,0.05330554395914078,0.9834185838699341,,,,,,,,
breastcancer,0.7,Baseline-Full,1,12,0.9780219793319702,31.18131873011589,0.019230767920777048,0.9972527472527473,0.9780219793319702,33,0.9824561403508771,0.9824561403508771,0.07888923585414886,0.09297677874565125,0.012997908027548579,0.014800100995783168,0.05330554395914078,0.9834185838699341,,,,,,,,
breastcancer,0.8,Baseline-Full,1,12,0.9780219793319702,31.18131873011589,0.019230767920777048,0.9972527472527473,0.9780219793319702,33,0.9824561403508771,0.9824561403508771,0.07888923585414886,0.09297677874565125,0.012997908027548579,0.014800100995783168,0.05330554395914078,0.9834185838699341,,,,,,,,
breastcancer,0.2,Baseline-Full,2,7,0.9340659379959106,25.291208893060684,0.06593406200408936,1.0,0.9340659379959106,28,0.9649122807017544,0.9912280701754386,0.07129746675491333,0.027244091033935547,0.034623274154830394,0.012154731834143923,0.110102079808712,0.9562639594078064,,,,,,,,
breastcancer,0.3,Baseline-Full,2,7,0.9340659379959106,25.291208893060684,0.06593406200408936,1.0,0.9340659379959106,28,0.9649122807017544,0.9912280701754386,0.07129746675491333,0.027244091033935547,0.034623274154830394,0.012154731834143923,0.110102079808712,0.9562639594078064,,,,,,,,
breastcancer,0.4,Baseline-Full,2,7,0.9340659379959106,25.291208893060684,0.06593406200408936,1.0,0.9340659379959106,28,0.9649122807017544,0.9912280701754386,0.07129746675491333,0.027244091033935547,0.034623274154830394,0.012154731834143923,0.110102079808712,0.9562639594078064,,,,,,,,
breastcancer,0.5,Baseline-Full,2,7,0.9340659379959106,25.291208893060684,0.06593406200408936,1.0,0.9340659379959106,28,0.9649122807017544,0.9912280701754386,0.07129746675491333,0.027244091033935547,0.034623274154830394,0.012154731834143923,0.110102079808712,0.9562639594078064,,,,,,,,
breastcancer,0.6,Baseline-Full,2,7,0.9340659379959106,25.291208893060684,0.06593406200408936,1.0,0.9340659379959106,28,0.9649122807017544,0.9912280701754386,0.07129746675491333,0.027244091033935547,0.034623274154830394,0.012154731834143923,0.110102079808712,0.9562639594078064,,,,,,,,
breastcancer,0.7,Baseline-Full,2,7,0.9340659379959106,25.291208893060684,0.06593406200408936,1.0,0.9340659379959106,28,0.9649122807017544,0.9912280701754386,0.07129746675491333,0.027244091033935547,0.034623274154830394,0.012154731834143923,0.110102079808712,0.9562639594078064,,,,,,,,
